ID,Student ID,Mathematics,Literature,Subject combination,Physics/History,Chemistry/Geography,Biology/Civic education,Foreign language,Foreign language code
192,1000193,4.6,7.75,Society,7,6,8.75,,
193,1000194,6.4,7.75,Society,4.75,4.75,7.25,3.8,N1
194,1000195,6.2,8.5,Society,7,6.5,9.5,5.6,N1
195,1000196,8,8.75,Society,7.25,8.5,9.25,9.4,N6
196,1000197,7.6,8.25,Nature,6.25,5.25,6,9.2,N1
197,1000198,8.8,7,Nature,8.75,6,4.5,9.2,N1
198,1000199,8.2,9,Society,,,,7.8,N1
199,1000200,8.6,8.75,Society,8,6.75,9.25,9.6,N1
200,1000201,7.6,8.25,Nature,8.75,5,5.25,8,N1
202,1000203,7.8,8.75,Society,7.75,7.75,9.75,8.8,N1
203,1000204,7.4,7.5,Nature,2.25,7.5,4.75,6.8,N1
204,1000205,6.8,8,Society,7.75,5.75,9.25,8.8,N1
205,1000206,8,8.75,Society,5.75,4.75,8.25,8.6,N1
206,1000207,7.8,6.5,Nature,7.5,6,6.25,5.4,N1
207,1000208,8.2,8.75,Nature,8.75,5.75,5.5,7.6,N1
208,1000209,7.8,9.25,Society,8.5,6.25,8.75,9.6,N1
209,1000210,4.4,6.5,Society,6.25,6.5,,,
210,1000211,6.6,8.75,Society,,,,7.6,N1
211,1000212,8,8.5,Society,6,7,8.25,7.4,N1
212,1000213,7.6,9,Society,8.75,5,8.5,8.4,N1
213,1000214,8.6,8.75,Society,8.5,7,9.25,8.8,N1
214,1000215,8,9.25,Society,7,6.25,8.25,8,N1
215,1000216,4.6,8,Society,5,4,7.75,6,N1
216,1000217,7.4,8.75,Society,3.25,4.25,6.5,7,N1
217,1000218,6.2,7.5,Society,4.25,4.5,7.75,6,N1
218,1000219,8.8,7.75,Nature,7.75,7,7,8.4,N1
219,1000220,7.2,9.5,Society,5.5,6,9,9.2,N1
220,1000221,7.4,8,Society,5.5,6.25,8.25,9,N1
221,1000222,6.4,8,Society,5.75,6.25,8,7.6,N1
222,1000223,8.6,8.75,Society,5.5,5.5,7.75,8.2,N1
223,1000224,7.6,9.25,Society,7.5,7.5,9.5,9.2,N1
224,1000225,7.2,8,Society,5.5,7,8,6,N1
225,1000226,7.4,8.75,Society,5.75,5.75,7.75,8.2,N1
226,1000227,5,8.5,Society,7,6.5,9.75,8.8,N1
227,1000228,8,6,Nature,6.75,7,5.25,6,N1
228,1000229,8,8.5,Society,3.5,7,8.75,8.4,N1
229,1000230,8.8,9.25,Society,7,8.75,9.25,8.8,N1
230,1000231,7,8.5,Society,7.75,6.75,8.75,7.6,N1
231,1000232,7.8,7.75,Nature,8.25,6,5.5,9.2,N1
232,1000233,8.6,9.25,Society,5.75,6.25,7.75,8.8,N1
233,1000234,7.8,9.5,Society,5.5,7,7.5,9.2,N1
234,1000235,8.4,7.5,Nature,7.5,7,6.5,7.8,N1
235,1000236,7.8,8.5,Society,6.25,5.5,8,8.6,N1
236,1000237,5.4,7,Society,4,5.5,8.5,6.8,N1
237,1000238,4.8,8,Society,6.25,6.5,,4.8,N1
238,1000239,7.8,8.5,Society,4.25,6,8.25,5.4,N1
239,1000240,7.8,9,Society,4,5.25,6.5,9.2,N1
240,1000241,4,8,Society,6.25,5.75,9,7.8,N1
241,1000242,6.4,7.75,Nature,6.25,7.25,6.75,6,N1
242,1000243,5,7.75,Society,7,5,8.75,6.8,N1
243,1000244,6.2,7,Society,8.25,7.5,8.75,8.2,N1
244,1000245,6.2,8.5,Society,9.25,6.75,,7.4,N1
245,1000246,7.6,9.25,Society,7.75,7.75,9.75,9.4,N1
246,1000247,7.8,8.25,Society,5,7,9,8,N1
247,1000248,8.4,8.5,Nature,5,8.75,6,8.8,N1
248,1000249,8.6,9.25,Society,6.75,5.5,7.25,8.8,N1
249,1000250,8.8,9,Society,5.75,5.5,9.25,7.8,N1
250,1000251,5.6,8.75,Society,,,,7,N1
251,1000252,7,8.25,Society,,,,8.6,N1
252,1000253,7.6,8.25,Nature,3.75,8,4.5,8.6,N1
253,1000254,8.8,8.25,Nature,6.75,6.25,5.25,6.4,N1
254,1000255,7.4,8.75,Society,8,6.5,9,9.4,N1
255,1000256,7.4,6.75,Nature,6.75,4,3.75,8.8,N1
256,1000257,3.8,5.5,Society,4.5,4.5,,,
257,1000258,8.6,6.75,Nature,5.25,8.5,8,8.4,N1
258,1000259,7.2,8.25,Nature,5.75,8.25,6.5,8,N1
259,1000260,5.8,8.5,Society,5.25,5,7,7,N1
260,1000261,7.2,8.75,Society,7.25,6,8.25,9,N1
261,1000262,7,6.5,Society,5,6.5,9.25,3.8,N1
262,1000263,6.2,9.25,Society,7.75,6.75,9.5,8,N1
263,1000264,7.8,9,Society,7.5,5.25,8.25,7.8,N1
264,1000265,8,8.5,Nature,6.5,7.75,6.75,9,N1
265,1000266,6.6,8.25,Society,6.75,7.5,9.25,4.2,N6
266,1000267,7.2,7.25,Society,5.75,6.5,7.75,3.8,N1
267,1000268,,7.25,Society,6.5,6.25,,,
268,1000269,4.4,7.5,Society,3.5,5.75,,,
269,1000270,,9,Society,9,6.5,7,6.4,N1
270,1000271,4.8,8,Society,5.25,6.25,9.5,5.4,N1
271,1000272,4,7.25,Society,8,7.5,9.75,3.2,N1
272,1000273,6.4,8,Society,6.5,6.25,8.75,8.2,N1
273,1000274,8,9,Society,6.5,6,9.25,9.2,N1
274,1000275,7.8,8.25,Society,5.5,7.5,7.5,8,N1
275,1000276,7.8,7.25,Nature,4,7.5,8.5,,
276,1000277,7.4,6,Nature,5,7.25,5.5,8,N1
277,1000278,7.4,9.25,Society,7,7.25,9,8.8,N1
278,1000279,8.6,9.5,Society,5.25,5,8.5,9.4,N1
279,1000280,7.4,7.25,Society,6.75,5.5,9.25,8.8,N1
280,1000281,5.6,7,Society,7,7.25,,,
281,1000282,6.2,8.25,Society,5,6.75,7.5,8.6,N1
282,1000283,,8,Society,9.25,8.25,,,
283,1000284,6.8,8.5,Society,4.75,5.5,6.75,7.8,N1
284,1000285,,8.25,Society,9,8.5,,,
285,1000286,6.6,8.5,Society,7,6.75,8.5,8.4,N1
286,1000287,8.2,8,Society,6.75,5.75,8.25,9.2,N1
287,1000288,8.8,7.5,Nature,8.75,8,6.25,8.2,N1
288,1000289,8.8,6.5,Nature,8.75,5,5.25,8.4,N1
289,1000290,7.6,6.25,Nature,8.75,3.5,7,9.6,N1
290,1000291,7.6,8.5,Society,8.75,6.75,9.5,9.2,N1
291,1000292,6.2,5.75,Society,6,5,6.75,4,N1
292,1000293,5,6.75,Society,,,,5.4,N1
293,1000294,7.2,8.25,Society,6.25,7.75,7.75,8.8,N1
294,1000295,8.4,7.25,Nature,8.5,6,6,9,N1
295,1000296,8.4,8.75,Society,9,5.75,10,9.4,N1
296,1000297,6.6,8,Society,6,6.75,7.75,,
297,1000298,7.6,8,Society,5.75,6,10,6.6,N1
298,1000299,6.8,7.75,Society,6,6.25,8.75,8.6,N1
299,1000300,8.4,9,Society,4.75,4.75,8,8.4,N1
300,1000301,8.6,7.5,Nature,8.5,4.5,3.5,8.6,N1
301,1000302,8.6,9,Society,7.75,7.5,7.5,9.2,N1
302,1000303,6,8.25,Society,5,7,8.5,8.2,N1
303,1000304,8,9,Society,6.75,7,7.75,7,N1
304,1000305,8,8,Nature,8.25,5.5,6.75,9,N1
305,1000306,8.8,9,Society,6,6.75,9.75,8,N1
306,1000307,8.4,8,Society,5.5,6,8.5,7.6,N1
307,1000308,2.6,7.5,Society,4.75,5.25,,,
308,1000309,8.2,8.5,Nature,7.5,5.75,4.5,8.4,N1
309,1000310,7.2,9,Society,5.75,6,8.25,9.2,N1
310,1000311,7.6,8,Society,6,5.75,8.25,6.8,N1
311,1000312,4,8,Society,5.25,5.25,6.75,5.2,N1
312,1000313,8.6,8,Nature,3,9,4.5,8.4,N1
313,1000314,7.6,5,Society,7.75,6.75,8,6.8,N1
314,1000315,7.6,8.5,Society,6.25,7,9,7.6,N1
315,1000316,7,8.75,Society,5.25,5,7,8,N1
316,1000317,8.6,8.5,Society,4.25,3.25,7.75,8.2,N1
317,1000318,8.4,8.5,Society,7,7.5,9.25,,
318,1000319,7,8,Society,5.5,6.5,8.25,5.4,N1
319,1000320,8.2,8.5,Society,7,6.5,9.25,9.4,N1
321,1000322,7.8,8.5,Society,6.75,7.25,8,8.4,N1
322,1000323,4.6,6.25,Society,3.5,5.5,,,
323,1000324,7.2,9,Society,6.25,7.75,9,9.4,N1
324,1000325,8,9,Society,5.5,5.75,8.75,7,N1
325,1000326,8.4,8,Society,3.5,9,8.75,9.4,N1
326,1000327,6.4,8.5,Society,6.25,6.25,8,8.2,N1
327,1000328,8.4,7.25,Nature,8.5,7.75,6,8.2,N1
328,1000329,7.2,7,Nature,6.5,5.25,6.25,8.6,N1
330,1000331,8,8,Nature,6.75,7.25,7.75,9.4,N1
331,1000332,8.4,8.25,Society,6,6,9.5,8.4,N1
332,1000333,,8.25,Society,8.75,7.25,,,
333,1000334,7,9.25,Society,7.75,7.75,9.75,8.6,N1
334,1000335,5.4,6.5,Society,7.75,6,8.75,4.2,N1
335,1000336,,7.25,Society,8.25,8.25,,,
336,1000337,,4.5,Society,5.25,6,,,
337,1000338,5.8,8.5,Society,4.25,4.75,,5.8,N6
338,1000339,7.6,8.75,Society,6.5,6,7.25,8.8,N1
339,1000340,8,8.75,Society,7,6.75,9.75,9,N1
340,1000341,6,9.25,Society,6.5,6.5,8.25,9.2,N1
341,1000342,7.8,9.25,Society,6.25,8,9.5,7.2,N1
342,1000343,6.4,7.5,Society,6.5,6.5,8.25,6.8,N1
343,1000344,8.4,8.5,Society,7.25,6.5,8.75,9,N1
344,1000345,8,9.5,Society,6.25,7.5,9,9,N1
345,1000346,,,Society,,,,,
346,1000347,4.6,8,Society,5.5,5.25,9,7.6,N1
347,1000348,9,9,Society,7.25,6.5,8.25,9,N1
348,1000349,8.4,6.25,Nature,7.75,5.5,4.5,8.6,N1
349,1000350,7.4,9,Society,6.5,8,9.75,9.4,N1
350,1000351,5,4.25,Society,2.5,6,,,
351,1000352,8.8,9,Society,8.25,7.25,9.5,9.6,N1
352,1000353,8.8,8.5,Society,7.75,6.5,9.5,8.8,N1
353,1000354,4.4,6.25,Society,6.25,7.25,,,
354,1000355,7,8.25,Society,7,6,8,8.2,N1
355,1000356,6.6,8.5,Society,6.75,6,8.25,9.2,N1
356,1000357,5.2,8,Society,7.75,6,8.75,6.6,N1
357,1000358,7.8,7.75,Nature,8,6.25,6,8.8,N1
358,1000359,8.2,8.75,Society,6.5,5.75,8,8.4,N1
359,1000360,8,9,Society,7.25,8.25,8.75,9.4,N1
360,1000361,7.6,8.75,Society,3,6.25,7.75,8,N1
361,1000362,,,Society,,,,,
362,1000363,7.2,8.75,Society,4.75,5.25,7.25,8.6,N1
363,1000364,8.2,7.75,Nature,6.5,6.75,6.5,7.2,N1
364,1000365,8,,Society,7.75,,,9,N1
365,1000366,5.6,6.75,Society,6.25,5,7,7.2,N1
366,1000367,8,7,Society,5.75,6.5,8.75,8.4,N1
367,1000368,,6.25,Society,5.25,5.75,,,
368,1000369,,6.75,Society,6,6.5,,,
369,1000370,,7.5,Society,8.5,7,,,
370,1000371,7.8,7.5,Nature,4.5,5,5.25,8.8,N1
371,1000372,7.4,5.75,Nature,6,7.75,5.5,8.4,N1
372,1000373,7.8,8.25,Nature,5.5,8.25,6,9.6,N1
373,1000374,7,7,Nature,6.25,5.25,7.25,9,N1
374,1000375,7.8,5.5,Nature,6,6.75,6,7.4,N1
375,1000376,7.8,5.25,Nature,3.75,8.5,4.75,8.8,N1
376,1000377,7.4,6.75,Nature,3.75,7.25,7.5,8,N1
377,1000378,8.6,6,Nature,8.25,8,6.5,7.4,N1
378,1000379,,4.5,Society,5.25,5.5,,,
379,1000380,6.8,5,Nature,5.75,5,4,4.8,N1
380,1000381,6.6,7.25,Nature,4.75,5.5,6.75,5.2,N1
381,1000382,,7,Society,6.75,6.5,,,
382,1000383,8,6.75,Nature,7.75,7.5,5.75,6,N1
383,1000384,4,5,Society,5.5,6.5,,,
385,1000386,,6,Society,5.25,5.75,,,
386,1000387,4.4,7,Society,4.75,5.75,,,
387,1000388,3.4,6.25,Society,4.75,4.5,,,
388,1000389,,6.75,Society,8,6.75,,,
389,1000390,5.8,7,Society,5,4,,,
390,1000391,5,7.5,Society,6.75,5.5,7,8,N1
391,1000392,,7,Society,4.5,4.5,,,
392,1000393,4.4,8,Society,4,4.75,,,
393,1000394,,6.25,Society,9.25,7.5,,,
394,1000395,,7,Society,8.5,7,,,
395,1000396,4.6,7,Society,6,7.25,,,
397,1000398,,9.25,Society,9,8.5,9,8.6,N1
398,1000399,5,7,Society,5.5,6,,,
400,1000401,,5.75,Society,6,6,,,
401,1000402,,6,Society,5.75,5.25,,,
403,1000404,5.8,5.5,Society,5,5,,,
404,1000405,,5.5,Society,6,7.25,,,
405,1000406,,4.75,Society,2.5,2.75,,,
406,1000407,3.4,7.25,Society,5.5,6,,,
407,1000408,,7.75,Society,8.75,8.75,,,
408,1000409,,7.75,Society,9.25,8,,,
409,1000410,4.4,7.75,Society,6.5,5.5,,,
411,1000412,4.4,7.25,Society,7,5.75,,,
412,1000413,,7,Society,4.25,5.5,,,
413,1000414,3.8,5,Society,4,6.75,,,
414,1000415,,6,Society,2,5.75,,,
417,1000418,,4,Society,3.25,5,,,
418,1000419,,4.75,Society,6.5,6.5,,,
419,1000420,,7,Society,3.75,5.75,,,
420,1000421,7.4,7.25,Society,4.25,,,7,N1
421,1000422,3.6,7,Society,3.75,4.5,,,
422,1000423,,8,Society,9.75,9.25,,,
423,1000424,6.4,7.25,Society,2.5,6.5,,,
424,1000425,6.4,7.75,Society,5.75,5.75,,,
425,1000426,3.4,5.75,Society,4.75,5.25,,,
426,1000427,8,,Society,4.75,,,6.6,N1
427,1000428,,5.75,Society,9,7.25,,,
428,1000429,,6.75,Society,9.5,7,,,
430,1000431,,4.5,Society,5.25,4.75,,,
431,1000432,,5,Society,5,7.25,,,
432,1000433,3.6,4.75,Society,3,3.75,,,
433,1000434,,8.25,Society,9.5,7.75,,,
434,1000435,5.8,6,Society,3.75,5.5,,,
435,1000436,,8.75,Society,8.5,8.5,,,
438,1000439,,7.25,Society,6.75,5.25,,,
439,1000440,4.2,6,Society,4.5,5,,,
440,1000441,,5.25,Society,6,6.25,,,
441,1000442,,8,Society,6.5,5.25,,,
442,1000443,,5.75,Society,6.25,6.5,,,
443,1000444,,6.5,Society,6.75,3.75,,,
444,1000445,4.6,7.25,Society,6.75,7,,,
445,1000446,,6.25,Society,4.25,5.75,,,
446,1000447,3.2,7.5,Society,5.25,4.5,,,
447,1000448,,7,Society,6.75,5.75,,,
448,1000449,3,5.5,Society,6.5,6.25,,,
450,1000451,3.2,5,Society,2.5,5.5,,,
451,1000452,,7,Society,5.75,4.5,,,
452,1000453,6.4,,Society,6.25,,,5.8,N1
453,1000454,,7,Society,9.5,8.75,,,
454,1000455,,5.5,Society,3.75,5.75,,,
457,1000458,7,7.5,Society,9,9,,,
459,1000460,7.6,8.5,Society,9,8.25,,,
460,1000461,,6,Society,9,7.5,,,
461,1000462,6.4,7.25,Society,9.5,6.5,,,
463,1000464,7.4,8.25,Society,,,,8.6,N1
464,1000465,,9,Society,9,8.75,,,
465,1000466,,6.5,Society,5.5,4.25,,,
467,1000468,,8.25,Society,8,8.25,,,
469,1000470,,4.75,Society,6.75,5.5,,,
471,1000472,,8.75,Society,9.25,7.5,,,
472,1000473,,7,Society,5.5,4.75,,,
473,1000474,,4.25,Society,4.5,4.25,,,
475,1000476,,6.75,Society,7.75,6.25,,,
477,1000478,4.2,6,Society,5.25,5.75,,,
