Student ID,Mathematics,Literature,Foreign language,Foreign language code,Subject combination,Physics/History,Chemistry/Geography,Biology/Civic education
1000053,8.2,8.5,8.8,N1,Society,4.5,6.5,9.75
1000055,7,8.25,7,N1,Society,8,7.5,9.75
1000056,6,8,7.4,N1,Society,6.75,5.25,8.25
1000057,7.6,9.25,9,N1,Society,6.25,6,9.25
1000058,7.8,5.5,7.4,N1,Nature,6.75,8,4.75
1000059,8.2,8,8.8,N1,Nature,6.75,5.5,8.25
1000060,6,7.5,8,N1,Society,5.5,5.5,6.5
1000063,7.4,7.75,9,N1,Nature,6.25,5,4.75
1000064,7.8,7.75,9.2,N1,Society,7,5,7.75
1000067,8,9.5,8.8,N1,Society,6.5,6.25,7.75
1000068,8.4,9,9.6,N4,Society,8.25,7.75,10
1000069,7.6,9,9.6,N1,Society,7.25,6.75,9.5
1000070,8.6,8.5,8.2,N1,Society,5.25,7.75,8.5
1000071,8.2,9,9,N7,Society,5.5,6.25,9
1000072,7,5.5,9.8,N1,Nature,7.25,4.75,6.5
1000073,7.4,7.75,5.6,N1,Society,6,7,8
1000074,8,9,8,N1,Society,6.25,5.75,7.75
1000075,7.8,8.5,9.2,N1,Nature,8,5.25,6
1000076,8.2,8,8.6,N1,Nature,7,8.5,8.25
1000077,6.6,7.75,6.2,N1,Society,5.75,5.5,7.25
1000079,6,8.75,6.8,N1,Society,8,6,8
1000080,7.6,8.25,8.4,N1,Nature,7.75,7.25,7.75
1000081,7.6,8.75,8.4,N1,Society,7.25,5.5,8.5
1000082,9.2,8.75,9.2,N1,Nature,7.75,7,8
1000083,8.2,9,9.6,N1,Society,7.75,7.75,9.5
1000084,7.6,9.5,8,N1,Society,7,6.5,8.5
1000087,6.8,6.25,7.6,N1,Society,4.25,5,8
1000089,8.2,8.75,9.4,N1,Society,7.75,7,9.5
1000090,7,8.5,7,N1,Society,4.75,5.25,8.25
1000091,6.6,8.5,8.4,N1,Society,6.5,4.25,9
1000092,7.8,8.5,9,N1,Society,5.25,6.25,9
1000094,7.6,9,9.2,N1,Society,7.25,6.5,9.25
1000095,8.2,9.5,8.6,N1,Society,6.5,7,9
1000096,8,9.25,7.4,N1,Society,6,7.25,8.25
1000097,8.4,8.25,9.6,N1,Society,7.25,8,9.25
1000098,8.2,9.25,9.4,N1,Society,7.5,6.75,8.75
1000099,8.6,9.5,9.2,N1,Society,7,8,9.25
1000100,7,9.25,8.8,N1,Society,7,6.25,9.75
1000101,6.6,8.25,8,N1,Society,7.25,6.75,9.75
1000102,6.8,9,6.8,N1,Society,4.25,5.5,7.5
1000103,8,9,9,N1,Society,7.75,6.75,8.5
1000105,7.6,8.5,6.6,N1,Society,6,5.75,9.5
1000107,6.8,8.25,6.6,N1,Society,4.25,6.75,7.75
1000108,7.6,8.5,8,N1,Nature,6.75,8.25,5.5
1000109,6.6,8.75,5.8,N1,Society,4.5,6,9.25
1000112,7.4,9.25,7.2,N1,Society,4.25,6,7.5
1000113,8.2,6.5,6.8,N1,Nature,7.5,8,6.25
1000114,5.2,8.75,7.2,N1,Society,8.25,7.5,8
1000115,6.6,6.5,7,N1,Society,3.5,5,7.75
1000116,7.2,7.25,8,N1,Nature,5,7,5.5
1000118,6.6,8.5,8.2,N1,Society,5.75,5.5,8.25
1000119,6.8,8.75,8.4,N1,Society,6,5,8
1000120,7.6,9.5,9.2,N1,Society,6.25,6.75,9
1000121,7.4,9.25,7.8,N1,Society,5,5.25,8.75
1000122,5,7,3.8,N1,Nature,5.5,3.5,5
1000123,7.8,8.25,8,N1,Nature,4.5,7.25,6
1000124,7.8,6.25,8.2,N1,Nature,8.25,4.75,6.75
1000125,6.6,8.75,9.4,N1,Society,6.5,7.5,8
1000127,8.2,6.75,7.6,N1,Nature,7.75,3.25,6.25
1000128,6.8,7.5,8.2,N1,Society,4.5,6,5.75
1000129,7.8,8,9,N1,Nature,6.75,7.25,8
1000131,8.4,9.25,8.8,N1,Society,7.5,6.75,8.25
1000132,6.6,8,7.6,N1,Nature,7.5,5.5,5.25
1000133,8.8,8.5,8.2,N1,Society,5.25,6.75,8.75
1000134,7,7.5,6.6,N1,Nature,6.25,7.25,8
1000135,8,8.5,9.2,N1,Society,5.75,6.25,8.5
1000136,7.8,8.5,6.6,N1,Society,4.25,4.75,8
1000137,7.8,8.25,8,N1,Society,6.75,7,8.5
1000138,7.4,8.25,8.4,N1,Society,5,7.25,8.5
1000139,8.2,8.5,8,N1,Society,6.75,5,9.25
1000140,8.2,7,7.2,N1,Society,5.75,6.75,8
1000141,8.4,8.25,8.8,N1,Nature,8,6,5.75
1000143,8,8.75,9,N1,Society,4,5,8.5
1000145,7.2,8,8.4,N1,Nature,7,3.75,6.25
1000147,7.6,8.5,9.4,N1,Society,7,7.5,9.25
1000148,8.2,9,9.2,N1,Society,7.5,7.75,9.5
1000149,7.8,8.75,8.4,N1,Society,4.25,5,8.25
1000150,8,6.25,9.2,N1,Nature,8.75,6.75,8.25
1000151,8.4,9.25,9.2,N1,Society,7.5,8.5,10
1000152,8.4,7.25,9,N1,Nature,7.5,5.75,5.25
1000153,7.8,9,8,N1,Society,6.75,6,7.5
1000154,7.6,7.5,9,N1,Nature,8,5.25,3.75
1000155,6.6,8,9,N1,Society,6.75,6,8.5
1000156,8,7.25,7.8,N1,Nature,6.5,5.75,6.25
1000158,4.4,7,3.2,N1,Society,4.25,4.75,7.25
1000159,8,8,9.4,N1,Society,7.75,7.75,8
1000160,7.8,7,8,N1,Nature,9,9.5,6.5
1000161,7.6,9.25,8.6,N1,Society,7.25,7.25,9.25
1000162,7.4,8.25,7.6,N1,Society,3.75,4.5,8
1000163,8,9.5,9.2,N1,Society,7.75,7,9
1000164,8.4,8.75,9.6,N1,Society,8,7,9.25
1000165,7.8,9.25,9.2,N1,Society,7.75,7.5,9
1000166,4.2,6.75,6.4,N1,Society,4.25,6,7.25
1000167,6,8.25,8,N1,Society,5.25,5.5,8.25
1000168,8.6,9.25,9.6,N1,Society,8.25,7.25,9.25
1000169,7.8,8,6.8,N1,Society,4,5,6.75
1000170,7.4,9,6.4,N1,Society,8,6.5,9.75
1000171,6.2,8.5,5.4,N1,Society,6.5,4.75,8.75
1000172,8.6,9,9.4,N1,Society,7,6.25,8
1000173,8.4,6.25,5,N1,Nature,7,8.25,6
1000174,7.2,7,6,N1,Society,6.5,6.75,8.75
1000175,8.2,8.25,9,N1,Society,7.5,6.5,9.25
1000176,6.4,7.75,6,N1,Society,4.75,5.75,8
1000177,8.8,8.75,8.4,N1,Society,6,4.5,9.25
1000178,8,9,9.2,N1,Society,5,6.25,8
1000179,8,7.75,7,N1,Society,5.5,7,8.5
1000180,8.2,7.75,9,N1,Society,6.75,7,8.75
1000181,5.2,7.5,9.4,N1,Society,7,5.5,8.5
1000182,9,8.75,9.2,N1,Nature,8.75,6.5,7
1000184,7.8,8,8,N1,Society,6.75,6.5,8.5
1000186,8.6,8.75,8.6,N1,Nature,7.25,7.25,6
1000187,7.2,5,5.6,N1,Nature,5.25,2.5,5.5
1000188,8.2,6.5,7,N1,Nature,8.25,6.75,4.5
1000189,8.6,8.75,8.6,N1,Society,5.25,5.25,9.25
1000190,7.4,8.25,5.2,N1,Society,5.5,5.25,8
1000191,8.2,6.25,8.6,N1,Society,9,8.25,9
1000192,7.6,6.75,7.6,N1,Nature,8.25,4.5,6.75
1000194,6.4,7.75,3.8,N1,Society,4.75,4.75,7.25
1000195,6.2,8.5,5.6,N1,Society,7,6.5,9.5
1000196,8,8.75,9.4,N6,Society,7.25,8.5,9.25
1000197,7.6,8.25,9.2,N1,Nature,6.25,5.25,6
1000198,8.8,7,9.2,N1,Nature,8.75,6,4.5
1000200,8.6,8.75,9.6,N1,Society,8,6.75,9.25
1000201,7.6,8.25,8,N1,Nature,8.75,5,5.25
1000203,7.8,8.75,8.8,N1,Society,7.75,7.75,9.75
1000204,7.4,7.5,6.8,N1,Nature,2.25,7.5,4.75
1000205,6.8,8,8.8,N1,Society,7.75,5.75,9.25
1000206,8,8.75,8.6,N1,Society,5.75,4.75,8.25
1000207,7.8,6.5,5.4,N1,Nature,7.5,6,6.25
1000208,8.2,8.75,7.6,N1,Nature,8.75,5.75,5.5
1000209,7.8,9.25,9.6,N1,Society,8.5,6.25,8.75
1000212,8,8.5,7.4,N1,Society,6,7,8.25
1000213,7.6,9,8.4,N1,Society,8.75,5,8.5
1000214,8.6,8.75,8.8,N1,Society,8.5,7,9.25
1000215,8,9.25,8,N1,Society,7,6.25,8.25
1000216,4.6,8,6,N1,Society,5,4,7.75
1000217,7.4,8.75,7,N1,Society,3.25,4.25,6.5
1000218,6.2,7.5,6,N1,Society,4.25,4.5,7.75
1000219,8.8,7.75,8.4,N1,Nature,7.75,7,7
1000220,7.2,9.5,9.2,N1,Society,5.5,6,9
1000221,7.4,8,9,N1,Society,5.5,6.25,8.25
1000222,6.4,8,7.6,N1,Society,5.75,6.25,8
1000223,8.6,8.75,8.2,N1,Society,5.5,5.5,7.75
1000224,7.6,9.25,9.2,N1,Society,7.5,7.5,9.5
1000225,7.2,8,6,N1,Society,5.5,7,8
1000226,7.4,8.75,8.2,N1,Society,5.75,5.75,7.75
1000227,5,8.5,8.8,N1,Society,7,6.5,9.75
1000228,8,6,6,N1,Nature,6.75,7,5.25
1000229,8,8.5,8.4,N1,Society,3.5,7,8.75
1000230,8.8,9.25,8.8,N1,Society,7,8.75,9.25
1000231,7,8.5,7.6,N1,Society,7.75,6.75,8.75
1000232,7.8,7.75,9.2,N1,Nature,8.25,6,5.5
1000233,8.6,9.25,8.8,N1,Society,5.75,6.25,7.75
1000234,7.8,9.5,9.2,N1,Society,5.5,7,7.5
1000235,8.4,7.5,7.8,N1,Nature,7.5,7,6.5
1000236,7.8,8.5,8.6,N1,Society,6.25,5.5,8
1000237,5.4,7,6.8,N1,Society,4,5.5,8.5
1000239,7.8,8.5,5.4,N1,Society,4.25,6,8.25
1000240,7.8,9,9.2,N1,Society,4,5.25,6.5
1000241,4,8,7.8,N1,Society,6.25,5.75,9
1000242,6.4,7.75,6,N1,Nature,6.25,7.25,6.75
1000243,5,7.75,6.8,N1,Society,7,5,8.75
1000244,6.2,7,8.2,N1,Society,8.25,7.5,8.75
1000246,7.6,9.25,9.4,N1,Society,7.75,7.75,9.75
1000247,7.8,8.25,8,N1,Society,5,7,9
1000248,8.4,8.5,8.8,N1,Nature,5,8.75,6
1000249,8.6,9.25,8.8,N1,Society,6.75,5.5,7.25
1000250,8.8,9,7.8,N1,Society,5.75,5.5,9.25
1000253,7.6,8.25,8.6,N1,Nature,3.75,8,4.5
1000254,8.8,8.25,6.4,N1,Nature,6.75,6.25,5.25
1000255,7.4,8.75,9.4,N1,Society,8,6.5,9
1000256,7.4,6.75,8.8,N1,Nature,6.75,4,3.75
1000258,8.6,6.75,8.4,N1,Nature,5.25,8.5,8
1000259,7.2,8.25,8,N1,Nature,5.75,8.25,6.5
1000260,5.8,8.5,7,N1,Society,5.25,5,7
1000261,7.2,8.75,9,N1,Society,7.25,6,8.25
1000262,7,6.5,3.8,N1,Society,5,6.5,9.25
1000263,6.2,9.25,8,N1,Society,7.75,6.75,9.5
1000264,7.8,9,7.8,N1,Society,7.5,5.25,8.25
1000265,8,8.5,9,N1,Nature,6.5,7.75,6.75
1000266,6.6,8.25,4.2,N6,Society,6.75,7.5,9.25
1000267,7.2,7.25,3.8,N1,Society,5.75,6.5,7.75
1000271,4.8,8,5.4,N1,Society,5.25,6.25,9.5
1000272,4,7.25,3.2,N1,Society,8,7.5,9.75
1000273,6.4,8,8.2,N1,Society,6.5,6.25,8.75
1000274,8,9,9.2,N1,Society,6.5,6,9.25
1000275,7.8,8.25,8,N1,Society,5.5,7.5,7.5
1000277,7.4,6,8,N1,Nature,5,7.25,5.5
1000278,7.4,9.25,8.8,N1,Society,7,7.25,9
1000279,8.6,9.5,9.4,N1,Society,5.25,5,8.5
1000280,7.4,7.25,8.8,N1,Society,6.75,5.5,9.25
1000282,6.2,8.25,8.6,N1,Society,5,6.75,7.5
1000284,6.8,8.5,7.8,N1,Society,4.75,5.5,6.75
1000286,6.6,8.5,8.4,N1,Society,7,6.75,8.5
1000287,8.2,8,9.2,N1,Society,6.75,5.75,8.25
1000288,8.8,7.5,8.2,N1,Nature,8.75,8,6.25
1000289,8.8,6.5,8.4,N1,Nature,8.75,5,5.25
1000290,7.6,6.25,9.6,N1,Nature,8.75,3.5,7
1000291,7.6,8.5,9.2,N1,Society,8.75,6.75,9.5
1000292,6.2,5.75,4,N1,Society,6,5,6.75
1000294,7.2,8.25,8.8,N1,Society,6.25,7.75,7.75
1000295,8.4,7.25,9,N1,Nature,8.5,6,6
1000296,8.4,8.75,9.4,N1,Society,9,5.75,10
1000298,7.6,8,6.6,N1,Society,5.75,6,10
1000299,6.8,7.75,8.6,N1,Society,6,6.25,8.75
1000300,8.4,9,8.4,N1,Society,4.75,4.75,8
1000301,8.6,7.5,8.6,N1,Nature,8.5,4.5,3.5
1000302,8.6,9,9.2,N1,Society,7.75,7.5,7.5
1000303,6,8.25,8.2,N1,Society,5,7,8.5
1000304,8,9,7,N1,Society,6.75,7,7.75
1000305,8,8,9,N1,Nature,8.25,5.5,6.75
1000306,8.8,9,8,N1,Society,6,6.75,9.75
1000307,8.4,8,7.6,N1,Society,5.5,6,8.5
1000309,8.2,8.5,8.4,N1,Nature,7.5,5.75,4.5
1000310,7.2,9,9.2,N1,Society,5.75,6,8.25
1000311,7.6,8,6.8,N1,Society,6,5.75,8.25
1000312,4,8,5.2,N1,Society,5.25,5.25,6.75
1000313,8.6,8,8.4,N1,Nature,3,9,4.5
1000314,7.6,5,6.8,N1,Society,7.75,6.75,8
1000315,7.6,8.5,7.6,N1,Society,6.25,7,9
1000316,7,8.75,8,N1,Society,5.25,5,7
1000317,8.6,8.5,8.2,N1,Society,4.25,3.25,7.75
1000319,7,8,5.4,N1,Society,5.5,6.5,8.25
1000320,8.2,8.5,9.4,N1,Society,7,6.5,9.25
1000322,7.8,8.5,8.4,N1,Society,6.75,7.25,8
1000324,7.2,9,9.4,N1,Society,6.25,7.75,9
1000325,8,9,7,N1,Society,5.5,5.75,8.75
1000326,8.4,8,9.4,N1,Society,3.5,9,8.75
1000327,6.4,8.5,8.2,N1,Society,6.25,6.25,8
1000328,8.4,7.25,8.2,N1,Nature,8.5,7.75,6
1000329,7.2,7,8.6,N1,Nature,6.5,5.25,6.25
1000331,8,8,9.4,N1,Nature,6.75,7.25,7.75
1000332,8.4,8.25,8.4,N1,Society,6,6,9.5
1000334,7,9.25,8.6,N1,Society,7.75,7.75,9.75
1000335,5.4,6.5,4.2,N1,Society,7.75,6,8.75
1000339,7.6,8.75,8.8,N1,Society,6.5,6,7.25
1000340,8,8.75,9,N1,Society,7,6.75,9.75
1000341,6,9.25,9.2,N1,Society,6.5,6.5,8.25
1000342,7.8,9.25,7.2,N1,Society,6.25,8,9.5
1000343,6.4,7.5,6.8,N1,Society,6.5,6.5,8.25
1000344,8.4,8.5,9,N1,Society,7.25,6.5,8.75
1000345,8,9.5,9,N1,Society,6.25,7.5,9
1000347,4.6,8,7.6,N1,Society,5.5,5.25,9
1000348,9,9,9,N1,Society,7.25,6.5,8.25
1000349,8.4,6.25,8.6,N1,Nature,7.75,5.5,4.5
1000350,7.4,9,9.4,N1,Society,6.5,8,9.75
1000352,8.8,9,9.6,N1,Society,8.25,7.25,9.5
1000353,8.8,8.5,8.8,N1,Society,7.75,6.5,9.5
1000355,7,8.25,8.2,N1,Society,7,6,8
1000356,6.6,8.5,9.2,N1,Society,6.75,6,8.25
1000357,5.2,8,6.6,N1,Society,7.75,6,8.75
1000358,7.8,7.75,8.8,N1,Nature,8,6.25,6
1000359,8.2,8.75,8.4,N1,Society,6.5,5.75,8
1000360,8,9,9.4,N1,Society,7.25,8.25,8.75
1000361,7.6,8.75,8,N1,Society,3,6.25,7.75
1000363,7.2,8.75,8.6,N1,Society,4.75,5.25,7.25
1000364,8.2,7.75,7.2,N1,Nature,6.5,6.75,6.5
1000366,5.6,6.75,7.2,N1,Society,6.25,5,7
1000367,8,7,8.4,N1,Society,5.75,6.5,8.75
1000371,7.8,7.5,8.8,N1,Nature,4.5,5,5.25
1000372,7.4,5.75,8.4,N1,Nature,6,7.75,5.5
1000373,7.8,8.25,9.6,N1,Nature,5.5,8.25,6
1000374,7,7,9,N1,Nature,6.25,5.25,7.25
1000375,7.8,5.5,7.4,N1,Nature,6,6.75,6
1000376,7.8,5.25,8.8,N1,Nature,3.75,8.5,4.75
1000377,7.4,6.75,8,N1,Nature,3.75,7.25,7.5
1000378,8.6,6,7.4,N1,Nature,8.25,8,6.5
1000380,6.8,5,4.8,N1,Nature,5.75,5,4
1000381,6.6,7.25,5.2,N1,Nature,4.75,5.5,6.75
1000383,8,6.75,6,N1,Nature,7.75,7.5,5.75
1000391,5,7.5,8,N1,Society,6.75,5.5,7
1000495,7.2,7,4.4,N1,Society,4.75,4.5,6.75
1000530,7.8,8.5,7.2,N1,Nature,4.5,4,4.5
1000548,7.4,7.75,6.4,N1,Society,6,6.75,9
1000549,8.6,8,9,N1,Nature,7,7.5,7
1000550,8.8,9,9.4,N1,Society,8.25,8.5,10
1000551,7.8,9,8.8,N1,Society,7,6.75,7.5
1000552,6.4,8,5.4,N1,Society,7.25,6.25,9.25
1000553,7,8.75,8.8,N1,Society,4.75,5.75,9
1000554,7.4,9.25,7.2,N1,Society,8.25,6,7.75
1000555,7.8,9,7,N1,Society,6.75,6.75,9.5
1000556,8.8,7.25,7.8,N1,Nature,9,8.75,7
1000557,8.2,6.5,8.6,N1,Nature,6.5,5.25,5.75
1000558,8.4,7.25,8.6,N1,Nature,8.5,5.5,7
1000559,9,6.25,8.8,N1,Nature,9.25,9.25,6.5
1000560,7.4,6,8.8,N1,Nature,6,4.5,6
1000561,8.2,7.75,8.6,N1,Nature,8.75,8.75,6
1000562,8,6.5,9.6,N1,Nature,9,7.75,8.25
1000563,8.2,7.25,8.2,N1,Nature,8.5,8.5,6.75
1000564,7.8,9.25,7.4,N1,Nature,7.5,6.25,5.25
1000565,8.2,9.5,9,N4,Society,7.25,6.75,9
1000566,8.4,9,8,N1,Society,7.75,7.75,10
1000567,6,7.25,7.8,N1,Society,6.25,6,8
1000568,7.8,7.5,6,N1,Society,3.5,5.5,6.5
1000569,7.4,9.25,9.6,N1,Society,7.75,6.5,8.5
1000570,9,8.5,8.2,N1,Society,4.25,5.5,9
1000572,5.4,7.75,7.2,N1,Society,5.75,5,8.5
1000573,7.2,9.25,9,N1,Society,5.25,6,9.5
1000575,5.6,8.25,4.6,N1,Society,6.5,6,9.25
1000576,8.6,8.5,8.8,N1,Society,8.5,7,8.75
1000577,6.8,8.5,8.2,N1,Society,7.5,7,9.25
1000578,7.4,8,6.4,N1,Society,5.25,5.75,8
1000579,7.8,9,8.2,N1,Society,6.75,5.25,8.25
1000580,7,8,4.8,N1,Society,7.75,7.75,8.75
1000581,8,8.5,8,N1,Society,6,5.75,8
1000582,7.4,7.75,7.2,N1,Society,5.25,5.5,6
1000583,7.6,9,9.6,N1,Society,6.5,7,9.75
1000584,7.4,8.75,9.4,N1,Society,9,6.5,9
1000585,7.8,8.5,8.8,N1,Society,8.5,7.25,9.5
1000586,8.4,8,8.6,N1,Society,8.5,6.75,9.5
1000587,7.6,8.5,9.2,N1,Society,7.5,7.5,9.5
1000588,6.8,8.75,7.4,N6,Society,5,7,8.25
1000589,7.4,9,8.4,N1,Society,8.75,7.5,9.75
1000590,7.4,8.5,9.6,N1,Society,8,8,10
1000591,7.6,8.5,8.6,N1,Society,8.75,7.5,9.25
1000592,7.4,8.75,9,N1,Society,6,5,7.5
1000593,8,9,9.6,N1,Society,6.5,6.75,8.75
1000595,7.8,9,9.6,N1,Society,7,7.25,9.25
1000596,5.4,8.5,7.4,N1,Society,6.5,5.75,7.5
1000597,8.2,8.5,8.6,N1,Society,6.75,7,8
1000598,8.2,8.25,9.4,N1,Society,9.25,8.5,9.5
1000599,6.2,6.25,7.4,N1,Society,4.75,6.25,8.25
1000600,7.6,7,9.2,N1,Nature,7.25,4.5,5.25
1000603,6,7.25,8.2,N1,Society,5.75,4.75,7.5
1000604,7.6,7.25,9.2,N1,Nature,6.75,6.5,5.75
1000607,7,8.25,8.6,N1,Society,6,4.75,8.25
1000609,7.8,8,7.6,N1,Nature,5,6.5,5
1000610,7,7.75,7.6,N1,Nature,6.25,5,4.75
1000613,7.6,7.5,8.6,N1,Nature,7.5,3.25,4.5
1000614,8.8,7.75,9.4,N1,Society,7,6.5,9
1000615,8.6,8.5,9.6,N1,Society,8.75,7,9.75
1000616,8.2,9.25,9,N1,Society,8.25,7.75,8.25
1000617,7.8,9,8.4,N1,Society,5.5,6.25,9.25
1000618,7.6,8.5,9.4,N1,Society,5.5,6.75,9.25
1000619,5,7.25,5.8,N1,Society,7.75,6.75,9.25
1000620,8.8,5.5,9.4,N1,Nature,7.75,6,5.75
1000621,6.4,6.5,6.6,N1,Society,6.25,5.25,7.25
1000622,5.6,6.5,5.8,N1,Society,6,6.25,8.5
1000623,6.8,7.25,7.8,N1,Society,5.75,5.25,7
1000625,7.8,8.5,8.8,N1,Society,6.75,7.25,8.25
1000626,8.2,7.5,9,N1,Nature,8,7.25,8.25
1000627,6.2,8,7,N1,Society,5.25,6,8
1000628,7,9,8.6,N1,Society,5,6.5,7.75
1000630,5.6,5.5,8.6,N1,Society,6,5.5,8.75
1000631,8.8,8.5,8.6,N1,Society,5.5,6.75,8.25
1000632,8.4,8.25,6.2,N6,Society,7,6.75,9
1000633,7,9,9.4,N1,Society,6.5,5.5,8.75
1000634,6.6,9.25,7.8,N1,Society,6.25,7,8
1000635,8.2,7.5,8.4,N1,Society,7.5,7,8.25
1000636,8,9,8.4,N1,Society,9,8.75,9
1000637,7,9.25,9.2,N1,Society,7.5,6.5,7.75
1000639,8,7.75,9.2,N1,Society,7.75,7,9
1000640,7.2,8,7.8,N1,Society,7.5,8,9.5
1000641,6.4,8,8.2,N1,Society,8.75,7,10
1000642,8,8.25,9.2,N1,Society,7,6,10
1000643,5.6,8,3.6,N1,Society,6.5,4.75,8.25
1000644,7.6,9.25,9.2,N1,Society,7.25,9.25,8.75
1000645,7.2,9,8.8,N1,Society,8,6.5,8
1000646,8,9.25,9,N1,Society,6.75,6.5,9
1000647,7.4,8.75,6.4,N1,Society,5,6.25,8.25
1000648,4.6,8.25,8,N1,Society,7.5,8,8.75
1000649,8,9.5,9.2,N1,Society,7.75,6.75,8.5
1000651,5.4,8.5,8.6,N1,Society,7.75,7,8.25
1000652,8.2,9,8.6,N1,Society,5.5,6.5,7.5
1000653,7.8,8.75,8.6,N1,Society,5.25,4.25,9
1000654,8.4,9,8.6,N1,Society,6.5,5,6.75
1000655,6.8,8,3.8,N6,Society,6,5.75,8.5
1000656,7.8,8.75,9.4,N1,Society,6.25,6.75,8.5
1000657,6.8,9.25,9,N1,Society,7.75,7.75,9.75
1000658,7.8,8.75,8.8,N1,Society,7.75,8,9
1000659,8,8.25,9.4,N1,Society,6.25,7,8.75
1000660,8.2,8.25,7,N1,Society,3.75,6,8
1000661,7.8,9,8.8,N1,Nature,8.5,5.75,8.25
1000662,5.2,8.5,5.6,N1,Society,5,5.75,7.75
1000663,8.4,7,8.8,N1,Nature,8.5,4.25,5.25
1000664,7.8,6.75,8.6,N1,Nature,3.75,8.5,5.25
1000666,7,6.75,5.4,N6,Society,8,7,9
1000667,8.2,6.75,8,N1,Society,7,7.75,9
1000669,7.8,9.25,8.2,N1,Society,7.25,7.5,8.25
1000670,7.8,8.5,8.2,N1,Society,4.75,4.25,9.25
1000671,6,8,9,N1,Society,6,6,8.5
1000672,7.8,9,8,N1,Society,7.5,7.25,8
1000673,5.4,8,10,N1,Society,6.75,6.5,7.5
1000674,7.6,8,9.2,N1,Society,6.25,7.25,9.5
1000675,5.4,8.25,3.4,N1,Society,5,6,8.5
1000676,7.4,9.25,8.6,N1,Society,5.25,4.25,7.75
1000677,7.4,9,8.8,N1,Society,8,9,8.5
1000678,7.6,9.25,9,N1,Society,8.5,7,9.5
1000679,6.6,8.25,7.6,N1,Society,4,4.25,6
1000680,8.6,8.5,8.4,N1,Nature,8.75,5.25,7.25
1000682,7.4,8.5,6.4,N1,Society,8,8.25,10
1000683,8,9,9,N1,Society,6.75,6,9
1000684,8.8,8.25,7.6,N1,Nature,6.5,8.25,8
1000685,8.2,7.5,7.6,N1,Nature,6.25,5.5,6.25
1000686,8,7.5,8.8,N1,Society,8.25,6.25,9.75
1000687,7.8,9,9.2,N1,Society,8.25,7.5,9.25
1000688,7.8,8.5,6.6,N6,Society,7.75,6.5,8
1000689,5.6,8,8.8,N1,Society,7.5,5.75,7.5
1000690,8.2,9.5,9.2,N1,Society,8.75,8.75,10
1000691,7.8,9,9.4,N1,Society,6,7.5,9
1000692,8.2,8,7.6,N1,Society,8.25,7.25,8.75
1000693,6.8,9.25,8.2,N1,Society,8,6.5,7.5
